"ranking","name","%break_points_saved","points_won","total_points","Matches_played.x","%games_won(receive)","games_won_receiving","total_games_receiving","Matches_played.y","%games_won(serve)","games_won_serving","total_games_serving","Matches_played.x.x","Aces_number","Matches_played.y.y","1st_serve_win_%","Points_won","Total_points","Matches_played","Index","Titles","Wins","Losses"
147,"Koepfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","34","132","34","","",NA,NA,NA,NA
148,"Gasquet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"76","18","76","18","","",NA,NA,NA,NA
149,"Vera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","6","19","6","","",NA,NA,NA,NA
150,"Herbert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50","4","50","4","","",NA,NA,NA,NA
151,"Jacquet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"Heide",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","6","29","6","","",NA,NA,NA,NA
153,"Canas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,"Uchiyama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","3","19","3","","",NA,NA,NA,NA
155,"Mochizuki",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","7","21","7","","",NA,NA,NA,NA
156,"Moller",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,"Barrere",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44","12","44","12","","",NA,NA,NA,NA
158,"Blanchet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21","3","21","3","","",NA,NA,NA,NA
159,"Galarneau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
160,"Kukushkin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","5","14","5","","",NA,NA,NA,NA
161,"Rocha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
162,"Ficovich",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,"Blockx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
164,"Trungelliti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","8","15","8","","",NA,NA,NA,NA
165,"Svrcina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,"Klein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"132","17","132","17","","",NA,NA,NA,NA
167,"Ajdukovic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","8","28","8","","",NA,NA,NA,NA
168,"Wawrinka",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"187","27","187","27","","",NA,NA,NA,NA
169,"Hemery",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,"Taberner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
171,"Tu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
172,"Huesler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"64","8","64","8","","",NA,NA,NA,NA
173,"Kachmazov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","4","25","4","","",NA,NA,NA,NA
174,"Assche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"129","28","129","28","","",NA,NA,NA,NA
175,"Skatov",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","5","16","5","","",NA,NA,NA,NA
176,"Alves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"29","5","29","5","","",NA,NA,NA,NA
177,"Habib",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"Choinski",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"19","4","19","4","","",NA,NA,NA,NA
179,"Draxl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,"Atmane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"80","10","80","10","","",NA,NA,NA,NA
181,"Trotter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,"Wong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53","7","53","7","","",NA,NA,NA,NA
183,"Evans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"112","27","112","27","","",NA,NA,NA,NA
184,"Mccabe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25","4","25","4","","",NA,NA,NA,NA
185,"Gigante",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,"Mena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
187,"Vallejo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"Shimabukuro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
189,"Albot",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"32","10","32","10","","",NA,NA,NA,NA
190,"Mejia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,"Lestienne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56","15","56","15","","",NA,NA,NA,NA
192,"Bolt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"40","6","40","6","","",NA,NA,NA,NA
193,"Bouquier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
